Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance
BEV_S1_2030,2030,S1,D1,1009798,BEV_S1_2030,BEV,2030,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.12508724136299998,138424.46508724138,0.8966811662102705,1.0,D1
Diesel_S1_2030,2030,S1,D1,1009798,Diesel_S1_2030,Diesel,2030,104539,102000,D4,B20,0.223016,0.6798821172799999,5226.950000000001,1045.39,0.31546728279999997,110811.6554672828,0.10331883378972956,5.0,D1
Diesel_S1_2030,2030,S1,D1,1009798,Diesel_S1_2030,Diesel,2030,104539,102000,D4,HVO,0.223016,0.108747953984,5226.950000000001,1045.39,0.37506830879999997,110811.7150683088,0.8412970638975553,3.0,D1
LNG_S1_2030,2030,S1,D1,1009798,LNG_S1_2030,LNG,2030,122987,102000,D4,LNG,0.154735,0.38470060965,6149.35,1229.8700000000001,0.150242269275,130366.37024226927,0.43237288234932053,4.0,D1
LNG_S1_2030,2030,S1,D1,1009798,LNG_S1_2030,LNG,2030,122987,102000,D4,BioLNG,0.154381,0.058423791259,6149.35,1229.8700000000001,0.16118920209999998,130366.3811892021,0.8853046864631124,2.0,D1
BEV_S1_2030,2030,S1,D2,3285854,BEV_S1_2030,BEV,2030,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.12508724136299998,138424.46508724138,0.8966811662102705,1.0,D2
Diesel_S1_2030,2030,S1,D2,3285854,Diesel_S1_2030,Diesel,2030,104539,102000,D4,B20,0.223016,0.6798821172799999,5226.950000000001,1045.39,0.31546728279999997,110811.6554672828,0.10331883378972956,5.0,D2
Diesel_S1_2030,2030,S1,D2,3285854,Diesel_S1_2030,Diesel,2030,104539,102000,D4,HVO,0.223016,0.108747953984,5226.950000000001,1045.39,0.37506830879999997,110811.7150683088,0.8412970638975553,3.0,D2
LNG_S1_2030,2030,S1,D2,3285854,LNG_S1_2030,LNG,2030,122987,102000,D4,LNG,0.154735,0.38470060965,6149.35,1229.8700000000001,0.150242269275,130366.37024226927,0.43237288234932053,4.0,D2
LNG_S1_2030,2030,S1,D2,3285854,LNG_S1_2030,LNG,2030,122987,102000,D4,BioLNG,0.154381,0.058423791259,6149.35,1229.8700000000001,0.16118920209999998,130366.3811892021,0.8853046864631124,2.0,D2
BEV_S1_2030,2030,S1,D3,3959514,BEV_S1_2030,BEV,2030,130589,102000,D3,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.12508724136299998,138424.46508724138,0.8966811662102705,1.0,D3
Diesel_S1_2030,2030,S1,D3,3959514,Diesel_S1_2030,Diesel,2030,104539,102000,D4,B20,0.223016,0.6798821172799999,5226.950000000001,1045.39,0.31546728279999997,110811.6554672828,0.10331883378972956,5.0,D3
Diesel_S1_2030,2030,S1,D3,3959514,Diesel_S1_2030,Diesel,2030,104539,102000,D4,HVO,0.223016,0.108747953984,5226.950000000001,1045.39,0.37506830879999997,110811.7150683088,0.8412970638975553,3.0,D3
LNG_S1_2030,2030,S1,D3,3959514,LNG_S1_2030,LNG,2030,122987,102000,D4,LNG,0.154735,0.38470060965,6149.35,1229.8700000000001,0.150242269275,130366.37024226927,0.43237288234932053,4.0,D3
LNG_S1_2030,2030,S1,D3,3959514,LNG_S1_2030,LNG,2030,122987,102000,D4,BioLNG,0.154381,0.058423791259,6149.35,1229.8700000000001,0.16118920209999998,130366.3811892021,0.8853046864631124,2.0,D3
Diesel_S1_2030,2030,S1,D4,496273,Diesel_S1_2030,Diesel,2030,104539,102000,D4,B20,0.223016,0.6798821172799999,5226.950000000001,1045.39,0.31546728279999997,110811.6554672828,0.09325434747036598,4.0,D4
Diesel_S1_2030,2030,S1,D4,496273,Diesel_S1_2030,Diesel,2030,104539,102000,D4,HVO,0.223016,0.108747953984,5226.950000000001,1045.39,0.37506830879999997,110811.7150683088,0.9194843526287892,1.0,D4
LNG_S1_2030,2030,S1,D4,496273,LNG_S1_2030,LNG,2030,122987,102000,D4,LNG,0.154735,0.38470060965,6149.35,1229.8700000000001,0.150242269275,130366.37024226927,0.47028931131028867,3.0,D4
