Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,Consumption (unit_fuel/km),carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Operating_Cost,Topsis_Score,Rank,No_of_vehicles,Max Vehicles,Utilization (%),DemandFulfillment,Total_Cost,Total_CE
BEV_S1_2032,2034,S1,D1,1080198,BEV_S1_2032,BEV,2032,0,102000,D4,Electricity,0.868161,0.0,9141.230000000001,6529.450000000001,0.106227311799,19593.153488316,0.9891811396794511,8.0,3,11,96.27433155080215,0.2727272727272727,58779.460464947995,0.0
BEV_S1_2033,2034,S1,D1,1080198,BEV_S1_2033,BEV,2033,0,102000,D4,Electricity,0.868161,0.0,7835.34,3917.67,0.106227311799,19122.408812964,0.9946802567450034,9.0,5,11,96.27433155080215,0.45454545454545453,95612.04406482,0.0
BEV_S1_2034,2034,S1,D1,1080198,BEV_S1_2034,BEV,2034,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.106227311799,18670.525803498,0.6682018232765224,5.0,2,11,96.27433155080215,0.18181818181818182,298519.051606996,0.0
LNG_S1_2034,2034,S1,D1,1080198,LNG_S1_2034,LNG,2034,138423,102000,D4,LNG,0.154735,0.38470060965,6921.150000000001,1384.23,0.146761660185,23275.069338870002,0.39537895693275377,2.0,1,11,96.27433155080215,0.09090909090909091,161698.06933887,415552.8291427107
BEV_S1_2034,2034,S1,D3,4474763,BEV_S1_2034,BEV,2034,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.106227311799,18670.525803498,0.9538815923865697,5.0,16,44,99.70505793226381,0.36363636363636365,2388152.412855968,0.0
Diesel_S1_2034,2034,S1,D3,4474763,Diesel_S1_2034,Diesel,2034,117659,102000,D4,B20,0.223016,0.6798821172799999,5882.950000000001,1176.59,0.34316363984,42062.23126368,0.07593600034384752,1.0,7,44,99.70505793226381,0.1590909090909091,1118048.6188457601,3042311.3427662044
LNG_S1_2034,2034,S1,D3,4474763,LNG_S1_2034,LNG,2034,138423,102000,D4,LNG,0.154735,0.38470060965,6921.150000000001,1384.23,0.146761660185,23275.069338870002,0.486125498403528,2.0,21,44,99.70505793226381,0.4772727272727273,3395659.4561162703,1721444.0541392628
BEV_S1_2032,2034,S1,D4,575445,BEV_S1_2032,BEV,2032,0,102000,D4,Electricity,0.868161,0.0,9141.230000000001,6529.450000000001,0.106227311799,19593.153488316,0.9881513164531331,7.0,2,6,94.02696078431373,0.3333333333333333,39186.306976632,0.0
BEV_S1_2033,2034,S1,D4,575445,BEV_S1_2033,BEV,2033,0,102000,D4,Electricity,0.868161,0.0,7835.34,3917.67,0.106227311799,19122.408812964,0.9941726746205313,8.0,3,6,94.02696078431373,0.5,57367.226438892,0.0
BEV_S1_2034,2034,S1,D4,575445,BEV_S1_2034,BEV,2034,130589,102000,D4,Electricity,0.868161,0.0,6529.450000000001,1305.89,0.106227311799,18670.525803498,0.6479525459631319,6.0,1,6,94.02696078431373,0.16666666666666666,149259.525803498,0.0
