Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
Diesel_S1_2025,S1,D1,Diesel,527781.03,596737.29,B20,5,9,877707,102000,172.1,55.56
LNG_S1_2025,S1,D1,LNG,486132.16,361160.5,LNG,4,9,877707,102000,215.12,44.44
Diesel_S1_2025,S1,D2,Diesel,1036405.4,1928297.3,B20,10,28,2836223,102000,278.06,35.71
LNG_S1_2025,S1,D2,LNG,2050271.42,1167054.28,LNG,18,28,2836223,102000,154.48,64.29
Diesel_S1_2025,S1,D3,Diesel,1682535.49,2342950.6,B20,17,34,3446113,102000,198.74,50.0
LNG_S1_2025,S1,D3,LNG,1945286.51,1418012.95,LNG,17,34,3446113,102000,198.74,50.0
Diesel_S1_2025,S1,D4,Diesel,328386.34,298989.72,B20,3,5,439767,102000,143.71,60.0
LNG_S1_2025,S1,D4,LNG,261296.94,180956.14,LNG,2,5,439767,102000,215.57,40.0
Diesel_S2_2025,S2,D1,Diesel,646449.74,738434.41,B20,5,11,1082065,106000,204.16,45.45
LNG_S2_2025,S2,D1,LNG,927184.52,444529.13,LNG,6,11,1082065,106000,170.14,54.55
Diesel_S2_2025,S2,D2,Diesel,876108.43,962625.87,B20,7,14,1410584,106000,190.11,50.0
LNG_S2_2025,S2,D2,LNG,1080246.63,579489.84,LNG,7,14,1410584,106000,190.11,50.0
Diesel_S2_2025,S2,D3,Diesel,631605.97,560738.32,B20,5,8,821678,106000,155.03,62.5
LNG_S2_2025,S2,D3,LNG,493944.97,337558.1,LNG,3,8,821678,106000,258.39,37.5
LNG_S2_2025,S2,D4,LNG,310465.93,56376.63,LNG,2,2,137231,106000,64.73,100.0
BEV_S3_2025,S3,D1,BEV,770344.26,0.0,Electricity,2,31,2255136,73000,1544.61,6.45
Diesel_S3_2025,S3,D1,Diesel,2036422.67,1540555.35,B20,15,31,2255136,73000,205.95,48.39
LNG_S3_2025,S3,D1,LNG,2405991.02,924112.55,LNG,14,31,2255136,73000,220.66,45.16
Diesel_S3_2025,S3,D2,Diesel,2171031.89,1708667.96,B20,16,35,2501227,73000,214.15,45.71
LNG_S3_2025,S3,D2,LNG,3250941.84,1024956.04,LNG,19,35,2501227,73000,180.33,54.29
Diesel_S3_2025,S3,D3,Diesel,1100793.55,719790.13,B20,8,15,1053662,73000,180.42,53.33
LNG_S3_2025,S3,D3,LNG,1214528.31,431770.98,LNG,7,15,1053662,73000,206.2,46.67
Diesel_S3_2025,S3,D4,Diesel,296980.61,149289.6,B20,2,3,218537,73000,149.68,66.67
LNG_S3_2025,S3,D4,LNG,205974.27,89552.37,LNG,1,3,218537,73000,299.37,33.33
Diesel_S4_2025,S4,D1,Diesel,174484.86,10464.55,B20,1,1,15615,118000,13.23,100.0
Diesel_S4_2025,S4,D2,Diesel,584152.06,530149.66,B20,3,7,791079,118000,223.47,42.86
LNG_S4_2025,S4,D2,LNG,903272.58,328989.94,LNG,4,7,791079,118000,167.6,57.14
LNG_S4_2025,S4,D3,LNG,445404.9,51257.42,LNG,2,2,123252,118000,52.23,100.0
Diesel_S4_2025,S4,D4,Diesel,170653.48,1291.4,B20,1,1,1927,118000,1.63,100.0
